검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
성도엔지니어링,성도엔지니어링,중소기업,경기 화성시,반도체 제조용 기계 제조업,"1억 5,000만원(2024.12.31)",58억 4천만원(2024.12.31),이성운,2006.07.03(20년차)
성도엔지니어링,성도엔지니어링,중소기업,서울 송파구,건축·설비·환경,-,-,이용호,-
성도엔지니어링,성도엔지니어링,중소기업,경기 화성시,기계·기계설비,-,30억,김종근,2000.01.10(26년차)
피브이에이치코리아,피브이에이치코리아,중소기업,서울 강남구,남녀용 겉옷 및 셔츠 도매업,19억 3천만원(2025.01.31),"2,094억 9천만원(2025.01.31)",우잉,1999.11.16(27년차)
피브이에이치코리아,(유)피브이에이테플라코리아,중소기업,PVA TePla,전기용 기계.장비 및 관련 기자재 도매업,"3,000만원(2023.12.31)",14억 9천만원(2023.12.31),임재일/안드레아스피셔,2022.01.22(4년차)
리드스피커코리아,리드스피커코리아,외국계(외국 투자기업),서울시 성동구,솔루션·SI·CRM·ERP,-,-,이종석,1999.06.01(27년차)
선진물류,선진물류,중소기업,서울 영등포구,일반 화물자동차 운송업,2억원(2024.12.31),195억 6천만원(2024.12.31),윤은섭,2000.10.01(26년차)
선진물류,선진물류,중소기업,강원 원주시,일반 화물자동차 운송업,1억원(2020.12.31),199억 1천만원(2020.12.31),곽준호/최중언,1994.01.01(32년차)
선진물류,선진물류,중소기업,경기 화성시,일반 화물자동차 운송업,1억원,-,김수진,2016.04.01(10년차)
선진물류,선진물류,중소기업,경기도 평택시,상품 종합 도매업,1억원(2022.12.31),20억 9천만원(2022.12.31),이광수,2017.10.23(9년차)
선진물류,선진물류,중소기업,강원 원주시,물류·운송·배송,-,-,김제진,-
선진물류,선진포장물류㈜,중소기업,울산 남구,목재·제지·가구,15억원,10억,김동식,2014.11.01(12년차)
선진물류,선진물류,중소기업,경남 창원시,일반 화물자동차 운송업,-,-,이성주,2022.02.01(4년차)
선진물류,선진종합물류,-,-,-,-,-,김다현,-
선진물류,㈜선진통합물류,중소기업,대전 동구,그 외 기타 운송관련 서비스업,-,-,이수자,-
선진물류,선진물류,-,-,-,-,-,고평안,-
진모빌리티,진모빌리티,중소기업,서울 성동구,기타 육상 운송지원 서비스업,"6억 7,505만원(2023.12.31)",178억 9천만원(2023.12.31),조창진/이성욱,2020.05.19(6년차)
진모빌리티,㈜제이엠투웰브,중소기업,서울 강동구,택시 운송업,1억원(2021.12.31),40억 2천만원(2021.12.31),조창진,2004.11.05(22년차)
진모빌리티,동부운수㈜,중소기업,서울 송파구,택시 운송업,"1억 6,782만원(2022.12.31)",60억 1천만원(2022.12.31),조창진,1971.01.16(55년차)
진모빌리티,동부실업㈜,중소기업,서울특별시 강동구,택시 운송업,"1억 3,500만원(2021.12.31)",21억 3천만원(2021.12.31),조창진,1969.04.08(57년차)
진모빌리티,"서연교통㈜,금강상운㈜",중소기업,서울 도봉구,택시 운송업,"8,000만원(2018.12.31)",46억 4천만원(2018.12.31),이성욱,1971.05.11(55년차)
진모빌리티,동부상운,중소기업,서울 송파구,비주거용 건물 임대업,48억원(2023.12.31),3억원(2023.12.31),조창진,1971.01.26(55년차)
진모빌리티,동부교통㈜,중소기업,서울 강동구,택시 운송업,"2억 8,000만원(2022.06.30)",54억 5천만원(2022.06.30),조창진,1981.04.01(45년차)
진모빌리티,㈜제이엠피프틴,중소기업,서울 강동구,택시 운송업,"3억 1,312만원(2022.12.31)",37억원4십만원(2022.12.31),조창진,2015.09.01(11년차)
디와이홀딩컴퍼니,디와이홀딩컴퍼니,중소기업,광주 북구,커피 및 차류 도매업,2억원(2016.12.31),"1억 9,481만원(2016.12.31)",정종국,2013.06.01(13년차)
디와이홀딩컴퍼니,주식회사 디와이컴퍼니,중소기업,경기 구리시,택배업,"2,800만원(2023.12.31)",17억 2천만원(2023.12.31),기혁민,2019.09.01(7년차)
디와이홀딩컴퍼니,㈜제이디와이컴퍼니 (JDY COMPANY),중소기업,서울 강남구,그 외 기타 봉제의복 제조업,"5,000만원(2023.12.31)",14억 1천만원(2023.12.31),김지영,2023.05.02(3년차)
디와이홀딩컴퍼니,디와이컴퍼니 주식회사,중소기업,경기 이천시,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업,3억원(2020.12.31),"6억 8,579만원(2020.12.31)",이치웅,2018.07.17(8년차)
디와이홀딩컴퍼니,디와이컴퍼니,-,-,-,-,-,김동엽,-
디와이홀딩컴퍼니,디와이컴퍼니,-,-,-,-,-,이동연,-
디와이홀딩컴퍼니,디와이컴퍼니,중소기업,경기 성남시,섬유·의류·패션,2억원,30억,이두원,2016.09.01(10년차)
디와이홀딩컴퍼니,디와이컴퍼니,-,-,-,-,-,홍종택,-
품,품,대기업,경북 상주시,가금류 가공 및 저장 처리업,14억 1천만원(2024.12.31),"4,206억 7천만원(2024.12.31)",강기철,1999.02.19(27년차)
품,품,중소기업,서울 영등포구,전기·전자·제어,6억원,290억,김유혁,2016.12.29(10년차)
품,품,중소기업,광주 서구,전자상거래 소매 중개업,-,-,백미정,2017.07.13(9년차)
품,품,중소기업,광주 동구,의약품 도매업,"6억 5,000만원(2024.12.31)",698억 7백만원(2024.12.31),서훤준,1997.07.15(29년차)
품,품,중소기업,경기 양주시,물류·운송·배송,1억원,157억 2천만원(2024.12.31),이남훈,2017.02.05(9년차)
품,품,중소기업,경기 광명시,포털·컨텐츠·커뮤니티,2억원,"8억 8,181만원(2024.12.31)",김기홍,2016.04.01(10년차)
품,품,중소기업,서울 동작구,건축설계 및 관련 서비스업,5억 500만원,-,김용만,2014.02.26(12년차)
품,품,중소기업,경기 성남시,학원·어학원·교육원,-,-,최상범,2020.09.25(6년차)
품,품,중소기업,서울 중구,일반 서적 출판업,"1억 5,000만원(2024.12.31)",12억 9천만원(2024.12.31),전미정,2008.01.09(18년차)
품,품,중소기업,서울 중구,기타 신선식품 및 단순 가공식품 도매업,-,-,이동규,2019(7년차)
세명이엔지,세명이엔지,중소기업,경기 화성시,그 외 기타 분류 안된 화학제품 제조업,1억원(2024.12.31),115억 1천만원(2024.12.31),최충식,2013.10.04(13년차)
세명이엔지,세명이엔지,중소기업,경기 군포시,기타 엔지니어링 서비스업,3억원(2020.12.31),37억 9천만원(2020.12.31),방장원,2002.02.20(24년차)
세명이엔지,세명이엔지,중소기업,서울 송파구,기계·기계설비,2억원,36억8천만,이기만,1999.08.01(27년차)
세명이엔지,세명이엔지,중소기업,경기 광명시,전기·전자·제어,-,8억,송진학,1998.04.01(28년차)
티와이엠,티와이엠,중견기업,서울 용산구,기계·기계설비,761억 7천만원,"1조 1,661억원",김희용/김도훈,1960.02.01(66년차)
티와이엠,티와이엠,중소기업,충남 공주시,데이터베이스 및 온라인정보 제공업,24억 8천만원(2023.12.31),66억원7십만원(2023.12.31),김소원,2020.08.01(6년차)
티와이엠,동양미디어판매㈜,대기업 계열사·자회사,경기 파주시,출판·인쇄·사진,3억원(2024.12.31),214억 6천만원(2024.12.31),최문성,2013.09.16(13년차)
티와이엠,㈜루트,중견기업,충남 논산시,기계·기계설비,40억원5십만원,1438억,김희용,2007.10.24(19년차)
지엘중,-,-,-,-,-,-,-,-
성진,성진,중소기업,서울 동대문구,유선 온라인 게임 소프트웨어 개발 및 공급업,2억원,5조,김종태,2011.03.10(15년차)
성진,성진,중소기업,서울 서초구,시설관리·보안·경비,10억원,300억,강경훈,1999.01.11(27년차)
성진,성진,중소기업,서울 금천구,시설관리·보안·경비,10억원,200억,김은정,1999(27년차)
성진,성진,중소기업,광주 광산구,전기·전자·제어,"2억 5,000만원",308억,정상희,1994.05.01(32년차)
성진,성진,중소기업,경기도 시흥시,반도체 제조용 기계 제조업,15억원(2024.12.31),314억 1천만원(2024.12.31),양락운/양락주,1998.04.23(28년차)
성진,성진,중소기업,부산 북구,건설·시공·토목·조경,-,-,박천수,2012.08.22(14년차)
성진,성진,중소기업,대전 유성구,콜센터·아웃소싱·기타,-,-,손석천,1985(41년차)
성진,성진,중소기업,서울 동대문구,가방 및 기타 보호용 케이스 제조업,"1억 6,270만원(2024.12.31)","1,408억 3천만원(2024.12.31)",박용흠,2004.10.15(22년차)
